====================================================================================================
MTL-TLV A-H COMPLETE TRAINING LOG
====================================================================================================
Run start time       : 2026-09-08T15:45:52+08:00
Operating system     : Windows-10-10.0.26200-SP0
Python               : 3.9.25
PyTorch              : 2.1.1+cu118
CUDA runtime         : 11.8
cuDNN                : 8700
Device               : cuda:0
GPU                  : NVIDIA GeForce RTX 4090 D
GPU memory           : 23.99 GiB
----------------------------------------------------------------------------------------------------
CUBLAS_WORKSPACE_CONFIG: :4096:8
cudnn.deterministic  : True
cudnn.benchmark      : False
CUDA matmul TF32     : False
cuDNN TF32           : False
deterministic algorithms: True
====================================================================================================
Starting SMAC hyperparameter optimization
========================================================================================
SMAC trial 1/10 | LR=0.01 | WD=1e-06 | loss_weight=0.1
  Epoch 086/100 | Val Loss=0.9999 | Acc=97.13% | Precision=97.72% | Recall=94.36% | MAE=10.5110
  Epoch 087/100 | Val Loss=1.2492 | Acc=97.49% | Precision=97.98% | Recall=95.10% | MAE=11.5242
  Epoch 088/100 | Val Loss=0.7212 | Acc=97.04% | Precision=96.76% | Recall=95.10% | MAE=7.4403
  Epoch 089/100 | Val Loss=0.7203 | Acc=96.95% | Precision=94.74% | Recall=97.06% | MAE=7.5891
  Epoch 090/100 | Val Loss=0.6454 | Acc=97.40% | Precision=96.56% | Recall=96.32% | MAE=5.3216
  Epoch 091/100 | Val Loss=0.6645 | Acc=97.04% | Precision=96.07% | Recall=95.83% | MAE=5.6600
  Epoch 092/100 | Val Loss=0.7659 | Acc=96.50% | Precision=98.68% | Recall=91.67% | MAE=5.6459
  Epoch 093/100 | Val Loss=0.7044 | Acc=96.41% | Precision=94.23% | Recall=96.08% | MAE=6.7661
  Epoch 094/100 | Val Loss=0.5307 | Acc=97.40% | Precision=97.26% | Recall=95.59% | MAE=4.4361
  Epoch 095/100 | Val Loss=0.5450 | Acc=97.04% | Precision=94.75% | Recall=97.30% | MAE=4.6557
  Epoch 096/100 | Val Loss=0.8142 | Acc=95.78% | Precision=98.92% | Recall=89.46% | MAE=6.1851
  Epoch 097/100 | Val Loss=0.6563 | Acc=97.13% | Precision=97.00% | Recall=95.10% | MAE=6.3283
  Epoch 098/100 | Val Loss=0.7385 | Acc=96.77% | Precision=96.73% | Recall=94.36% | MAE=7.6040
  Epoch 099/100 | Val Loss=0.9061 | Acc=96.32% | Precision=93.38% | Recall=96.81% | MAE=10.9972
  Epoch 100/100 | Val Loss=0.6556 | Acc=96.59% | Precision=95.12% | Recall=95.59% | MAE=5.7284
SMAC trial 2/10 | LR=1e-05 | WD=0.0001 | loss_weight=1
  Epoch 001/100 | Val Loss=99.3022 | Acc=36.59% | Precision=36.59% | Recall=100.00% | MAE=147.0668
  Epoch 002/100 | Val Loss=97.1178 | Acc=54.80% | Precision=44.70% | Recall=99.26% | MAE=143.9534
  Epoch 003/100 | Val Loss=92.2698 | Acc=88.25% | Precision=78.32% | Recall=93.87% | MAE=137.1753
  Epoch 004/100 | Val Loss=84.4234 | Acc=92.02% | Precision=88.25% | Recall=90.20% | MAE=125.7398
  Epoch 005/100 | Val Loss=72.1819 | Acc=92.47% | Precision=90.30% | Recall=88.97% | MAE=107.3209
  Epoch 006/100 | Val Loss=53.8626 | Acc=93.81% | Precision=91.85% | Recall=91.18% | MAE=79.7778
  Epoch 007/100 | Val Loss=29.0696 | Acc=92.83% | Precision=86.94% | Recall=94.61% | MAE=43.7156
  Epoch 008/100 | Val Loss=17.2001 | Acc=94.26% | Precision=91.95% | Recall=92.40% | MAE=24.3982
  Epoch 009/100 | Val Loss=17.9164 | Acc=94.71% | Precision=91.65% | Recall=94.12% | MAE=25.8372
  Epoch 010/100 | Val Loss=12.3332 | Acc=93.81% | Precision=90.84% | Recall=92.40% | MAE=17.0411
  Epoch 011/100 | Val Loss=9.5905 | Acc=94.17% | Precision=90.93% | Recall=93.38% | MAE=13.1685
  Epoch 012/100 | Val Loss=7.9562 | Acc=93.99% | Precision=91.48% | Recall=92.16% | MAE=10.5350
  Epoch 013/100 | Val Loss=8.0959 | Acc=93.54% | Precision=92.21% | Recall=89.95% | MAE=10.7084
  Epoch 014/100 | Val Loss=6.6754 | Acc=93.63% | Precision=92.44% | Recall=89.95% | MAE=8.6597
  Epoch 015/100 | Val Loss=5.9451 | Acc=92.74% | Precision=87.76% | Recall=93.14% | MAE=7.3846
  Epoch 016/100 | Val Loss=5.7863 | Acc=93.45% | Precision=92.19% | Recall=89.71% | MAE=7.2824
  Epoch 017/100 | Val Loss=6.0584 | Acc=93.36% | Precision=91.13% | Recall=90.69% | MAE=7.9276
  Epoch 018/100 | Val Loss=5.2834 | Acc=93.36% | Precision=88.84% | Recall=93.63% | MAE=6.5833
  Epoch 019/100 | Val Loss=4.9182 | Acc=93.09% | Precision=91.27% | Recall=89.71% | MAE=6.1569
  Epoch 020/100 | Val Loss=4.5485 | Acc=93.00% | Precision=91.67% | Recall=88.97% | MAE=5.6710
  Epoch 021/100 | Val Loss=4.4267 | Acc=93.81% | Precision=91.24% | Recall=91.91% | MAE=5.5989
  Epoch 022/100 | Val Loss=4.8792 | Acc=93.18% | Precision=91.29% | Recall=89.95% | MAE=6.2261
  Epoch 023/100 | Val Loss=5.2926 | Acc=92.83% | Precision=91.62% | Recall=88.48% | MAE=7.0214
  Epoch 024/100 | Val Loss=4.2621 | Acc=93.27% | Precision=89.36% | Recall=92.65% | MAE=5.2960
  Epoch 025/100 | Val Loss=5.8775 | Acc=93.54% | Precision=91.79% | Recall=90.44% | MAE=7.8945
  Epoch 026/100 | Val Loss=4.7962 | Acc=92.83% | Precision=92.05% | Recall=87.99% | MAE=6.0958
  Epoch 027/100 | Val Loss=4.6765 | Acc=93.09% | Precision=92.11% | Recall=88.73% | MAE=6.0298
  Epoch 028/100 | Val Loss=3.7250 | Acc=93.27% | Precision=90.91% | Recall=90.69% | MAE=4.7921
  Epoch 029/100 | Val Loss=3.9485 | Acc=93.27% | Precision=92.58% | Recall=88.73% | MAE=5.1233
  Epoch 030/100 | Val Loss=3.5579 | Acc=93.18% | Precision=91.50% | Recall=89.71% | MAE=4.5129
  Epoch 031/100 | Val Loss=3.4771 | Acc=93.27% | Precision=91.73% | Recall=89.71% | MAE=4.5365
  Epoch 032/100 | Val Loss=3.4960 | Acc=93.09% | Precision=91.90% | Recall=88.97% | MAE=4.4499
  Epoch 033/100 | Val Loss=3.8552 | Acc=93.45% | Precision=93.73% | Recall=87.99% | MAE=5.0472
  Epoch 034/100 | Val Loss=3.8101 | Acc=93.45% | Precision=91.56% | Recall=90.44% | MAE=5.0315
  Epoch 035/100 | Val Loss=3.7419 | Acc=93.27% | Precision=91.11% | Recall=90.44% | MAE=4.8807
  Epoch 036/100 | Val Loss=3.2770 | Acc=93.18% | Precision=92.35% | Recall=88.73% | MAE=4.2187
  Epoch 037/100 | Val Loss=3.2907 | Acc=93.54% | Precision=92.21% | Recall=89.95% | MAE=4.2542
  Epoch 038/100 | Val Loss=3.2427 | Acc=93.72% | Precision=93.33% | Recall=89.22% | MAE=4.2154
  Epoch 039/100 | Val Loss=5.4198 | Acc=93.63% | Precision=94.69% | Recall=87.50% | MAE=7.5223
  Epoch 040/100 | Val Loss=3.0898 | Acc=94.08% | Precision=91.30% | Recall=92.65% | MAE=4.0901
  Epoch 041/100 | Val Loss=3.5019 | Acc=93.81% | Precision=92.91% | Recall=89.95% | MAE=4.7606
  Epoch 042/100 | Val Loss=3.8964 | Acc=93.27% | Precision=92.15% | Recall=89.22% | MAE=5.3798
  Epoch 043/100 | Val Loss=3.3290 | Acc=94.08% | Precision=91.71% | Recall=92.16% | MAE=4.4166
  Epoch 044/100 | Val Loss=3.9775 | Acc=93.54% | Precision=93.52% | Recall=88.48% | MAE=5.6632
  Epoch 045/100 | Val Loss=3.2625 | Acc=93.90% | Precision=91.67% | Recall=91.67% | MAE=4.0381
  Epoch 046/100 | Val Loss=4.9551 | Acc=94.08% | Precision=93.85% | Recall=89.71% | MAE=6.9788
  Epoch 047/100 | Val Loss=3.5502 | Acc=93.81% | Precision=91.65% | Recall=91.42% | MAE=4.7543
  Epoch 048/100 | Val Loss=3.5674 | Acc=93.72% | Precision=93.33% | Recall=89.22% | MAE=4.9117
  Epoch 049/100 | Val Loss=2.9226 | Acc=93.99% | Precision=91.69% | Recall=91.91% | MAE=3.7542
